,method,num_clusters,sse,silhouette,calinski-harabasz,davies-bouldin,eps,min_sample,linkage,threshold,branching_factor
5,agglomerative,7,,0.19070028992988247,1218.5591307091875,1.2721883941764438,,,ward,,
6,agglomerative,8,,0.19189021993067393,1108.2955235510276,1.2706189796910412,,,ward,,
7,agglomerative,9,,0.19406180824966104,1026.3343729304006,1.1707471273341894,,,ward,,
8,agglomerative,10,,0.1941505948942419,965.6849223785669,1.097750405083774,,,ward,,
9,agglomerative,11,,0.14260504205958233,912.9943615695646,1.3443225170222846,,,ward,,
10,agglomerative,12,,0.08317743407858166,872.031230291291,1.531268989727309,,,ward,,
11,agglomerative,13,,0.08535867572311828,835.2621279634884,1.462953667775287,,,ward,,
12,agglomerative,14,,0.08366919935329349,799.2745632070852,1.4145126331608802,,,ward,,
13,agglomerative,15,,0.07421760211377605,768.249660139781,1.497155312467466,,,ward,,
14,agglomerative,16,,0.07619240798162287,738.392861305079,1.532708510222085,,,ward,,
15,agglomerative,17,,0.05304810172155369,711.187373319828,1.614753051033442,,,ward,,
16,agglomerative,18,,0.0528650943061191,687.6165107139141,1.592755799039191,,,ward,,
17,agglomerative,19,,0.05349098346743102,666.7015152946643,1.5512289734887528,,,ward,,
18,agglomerative,20,,0.051474259117388815,647.7552201667927,1.5532452083368253,,,ward,,
19,agglomerative,21,,0.05311821098646363,630.3072005439869,1.5552931732427273,,,ward,,
20,agglomerative,22,,0.054685982689700145,614.3697524127556,1.5547753155623218,,,ward,,
21,agglomerative,23,,0.05980755874881229,599.7902442264207,1.6158977953441835,,,ward,,
22,agglomerative,24,,0.05090705381325374,585.4638834953925,1.6329098931228863,,,ward,,
23,agglomerative,25,,0.05298599240543696,572.0120744179376,1.6072061616230264,,,ward,,
24,agglomerative,26,,0.055048183981774586,559.1868996669982,1.5973259639475683,,,ward,,
25,agglomerative,27,,0.05759572163688066,547.3938834194206,1.5990553224466764,,,ward,,
26,agglomerative,28,,0.059796458243075466,536.6810144772735,1.5916517225738518,,,ward,,
27,agglomerative,29,,0.061323610665036894,526.7355892777944,1.5851560847961796,,,ward,,
28,agglomerative,30,,0.05380591848469526,516.8289323994418,1.6143691096159474,,,ward,,
29,agglomerative,31,,0.05532045670315716,507.66802256032946,1.5837551332404014,,,ward,,
30,agglomerative,32,,0.05729055819175645,498.99354600656466,1.6320022034384065,,,ward,,
31,agglomerative,33,,0.05987894812363703,490.49693959463747,1.6099607052741245,,,ward,,
32,agglomerative,34,,0.05962296242556782,482.3482157793406,1.5970821378284168,,,ward,,
33,agglomerative,2,,0.782929954984194,1996.9827466991908,0.3577566553309005,,,average,,
34,agglomerative,3,,0.7273317700868397,1069.2092738065685,0.39272398686243876,,,average,,
35,agglomerative,4,,0.6463592394606191,810.9451844375616,0.628239528937207,,,average,,
36,agglomerative,5,,0.6406893191712579,757.5158404487594,0.7262039241237292,,,average,,
37,agglomerative,6,,0.6303982923745346,642.8835009982274,0.7087931543298986,,,average,,
38,agglomerative,7,,0.6223765901269372,547.213377867862,0.7538717220683148,,,average,,
39,agglomerative,8,,0.6193149614549636,473.07731163221837,0.7586712139204062,,,average,,
40,agglomerative,9,,0.5694103083225478,418.69416750802674,0.7631835501093368,,,average,,
41,agglomerative,10,,0.5686988326414077,373.4007547985303,0.7044551060431979,,,average,,
42,agglomerative,11,,0.5528883893173966,338.68504657617973,0.6841218702092072,,,average,,
43,agglomerative,12,,0.5431396411249061,312.991283492839,0.6650125546389768,,,average,,
44,agglomerative,13,,0.5374225799431959,302.3519724464684,0.6644571456677858,,,average,,
45,agglomerative,14,,0.5155156007020921,290.13787791794556,0.712699805793658,,,average,,
46,agglomerative,15,,0.5160675685908273,275.2021295909369,0.7038780571833019,,,average,,
47,agglomerative,16,,0.5165367832165854,300.1196441350311,0.7156261055416823,,,average,,
48,agglomerative,17,,0.5136024820321557,282.8478492568258,0.7203873560070132,,,average,,
49,agglomerative,18,,0.506086533800931,266.7921218722965,0.7011026270842915,,,average,,
50,agglomerative,19,,0.48176276311782007,252.66167615445497,0.6889782229700928,,,average,,
51,agglomerative,20,,0.47078302789563226,239.93477758962254,0.6752994375277632,,,average,,
52,agglomerative,21,,0.4405453846100276,241.9067637345475,0.7364391512989921,,,average,,
53,agglomerative,22,,0.4381895036362467,231.32792086470062,0.7376792798293103,,,average,,
54,agglomerative,23,,0.41304024042132975,221.72549081008546,0.7348849964543392,,,average,,
55,agglomerative,24,,0.4031440960480354,212.7521128078339,0.7419050901232399,,,average,,
56,agglomerative,25,,0.4041162625418364,210.21842264381752,0.7470566836352832,,,average,,
57,agglomerative,26,,0.3997102929695088,202.4291828344093,0.7476910471822121,,,average,,
58,agglomerative,27,,0.39910152497034945,195.35978938165752,0.7294401003861325,,,average,,
59,agglomerative,28,,0.3989944503399139,188.3620727039815,0.712140637410241,,,average,,
60,agglomerative,29,,0.39393055819016753,182.19946204807025,0.7155823617759617,,,average,,
61,agglomerative,30,,0.39378881701700147,176.16886785471365,0.7165383077773251,,,average,,
62,agglomerative,31,,0.3916290202093453,170.52344882123697,0.710388685742554,,,average,,
63,agglomerative,32,,0.3663288630861751,167.37539908566956,0.7274297877056946,,,average,,
64,agglomerative,33,,0.35495116504400454,163.80136790210014,0.7304590642806208,,,average,,
65,agglomerative,34,,0.3484227775048186,206.8641135444648,0.7699644928216186,,,average,,
66,agglomerative,2,,0.2535411204712346,822.6270873755154,1.4878492001672685,,,complete,,
67,agglomerative,3,,0.24075598515193172,551.6840549242781,1.2282100559965212,,,complete,,
68,agglomerative,4,,0.28749649994943477,1391.4976458630354,1.0250613913207876,,,complete,,
69,agglomerative,5,,0.27613984549066056,1183.4109316544352,0.9338701031105963,,,complete,,
70,agglomerative,6,,0.27612379795403863,968.7036313060293,1.0086355727368905,,,complete,,
71,agglomerative,7,,0.25028935237310085,886.464104034016,1.0591758630449715,,,complete,,
