locus_tag,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_low_iron_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS12565,0.2602121586885906,0.1153348120819463,-0.2198219483389514,-0.154654904901731,-0.492431228711467,-0.32925239943696794,-0.5555692310045794,-0.3327106573087464,0.11737532827206162,-0.006580336428408966,0.03727433432272614,-0.007618843139747981,-9.678969140169678e-05,0.14282872343776057,-0.03458137492101127,-0.36398755850252434,0.11570201648305091,-0.4418811904983976,0.20323692987486897,-0.19308329004348618
EQU24_RS12570,1.0378776391502393,-0.6582078784226438,0.20060931071997268,-0.07623157483918588,-0.09898984338417727,0.1969915590651902,-0.07500096218222574,0.1464239931291594,0.36449154697761205,0.3581204594766776,0.3936367724922565,0.27558422962299456,0.28651863872645855,-0.09291272782997632,0.10139198203104334,-0.1075472400834673,0.3877060544496209,0.40251465506278333,0.20859240739663096,-0.5289357692805203
EQU24_RS12575,1.2397151784718519,-1.0212891025761681,0.3025745727256263,0.4192507564926824,0.37579854847695415,0.4756652931037456,0.3260782951109193,0.5626842471653645,0.4329014158407311,0.7177377940306537,0.35732468252104077,0.07830189260102373,0.519648387231355,0.10509316952414438,-0.1566593430590278,0.16652557044648017,0.5563136999392405,0.6370792478664545,0.2170913553140886,-0.9049293630860149
EQU24_RS12580,1.0343847730183675,-0.7030175612495196,0.4669257465757346,0.006539975095270981,0.13401121984693268,0.2131800727202812,0.14872633049674916,0.27251809940268623,0.30921668692582976,0.16862416746166012,0.3828019356660864,0.08022694138497989,0.20371612007020032,0.2990021003575665,-0.2535164029445408,-0.1700755618489937,0.14338620254226944,0.19371224040463894,0.2088400128046737,0.05935109443979002
EQU24_RS12585,1.1797035478685984,-0.7871409703570681,0.6691968284391768,0.41288447218196517,0.37698361428403776,0.4841096837504066,0.3682967640143064,0.7489416292133063,0.274007157538143,0.7006406985395767,0.6239526280343753,0.39009675019947115,0.26104086634728346,0.15201198584035433,-0.11435706229827476,0.2795357323922726,0.3953923094894847,0.8795470637859083,0.21283674470088323,0.21453756723105968
EQU24_RS12590,0.6366168475867002,0.3884839384895445,0.10454284053940253,-0.19509623148509359,0.0007474201175613217,-0.11602257928615947,0.13062593874759826,-0.3867631601994679,0.33706399382824714,-0.015560971315780114,0.2307266735276024,0.13018825540150658,-0.02109024302761763,0.4332208436730755,-0.12547003316338573,-0.030590800330009153,0.07025733087057578,0.04311232905214921,0.15939210511813318,-0.22617759532798284
EQU24_RS12595,0.8125473560824042,0.24802670534462945,0.13072401126404662,0.09523538085130788,-0.05499656880518493,-0.03959573636822125,-0.248861180446684,0.13335530646098526,0.29624718259868255,0.48190596693372467,0.1882489023351798,0.47341154055700835,0.01249649050645125,0.2886194910067794,0.2215985175471215,-0.3837164514346221,0.20347632640419214,0.13816724490344096,0.18893046672456068,0.9204100763022143
EQU24_RS12605,0.42331645495342857,0.3476084273387427,0.08389127625440564,-0.04337434674591049,0.10198616203447182,0.07713511098600054,0.009504980820597149,-0.24252603468199252,0.6095195996729,0.10478128835708214,0.20964356471666826,0.20379707279387121,-0.014334231926061956,0.5262447636359991,0.1446628814229257,-0.270327570684644,0.03415015117816849,-0.21464809913456215,0.1695758222916023,-0.044349061639206
EQU24_RS12610,0.42570969607752845,-0.10351820484064352,0.08618309725836455,-0.11903687704059442,-0.10511804362034843,-0.028714255072560122,-0.18857081560342054,-0.22264856278245482,0.3899641660296127,0.1826404715387457,-0.05288722250393697,-0.066764410911665,-0.07683745864724831,0.15486693073292676,0.03036139035469934,-0.2957758186098119,-0.1102036667684627,-0.3205901098149586,0.19054804837910172,0.0032533773695850397
EQU24_RS12615,-0.8139412602924002,0.2729565863639082,0.20335775900559722,0.30490784640629126,0.24126759473310383,-0.13079355612886306,0.15273338885638668,0.031100423680817845,0.040293797400596444,0.23896303606829478,0.5844396452864679,0.30888918640052443,0.3685649685617962,-0.2836497176017005,0.3869542904487484,0.06694683589414516,0.5095457359288151,0.23621416188498054,-0.01914577637221742,-0.2485015577155008
